id,name,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume,boil_volume,method,ingredients,food_pairing
1,Buzz,4.5,60.0,1010.0,1044.0,20.0,10.0,4.4,75.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 64, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 3.3, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.2, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.4, 'unit': 'kilograms'}}], 'hops': [{'name': 'Fuggles', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Fuggles', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Cascade', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Spicy chicken tikka masala', 'Grilled chicken quesadilla', 'Caramel toffee cake']"
2,Trashy Blonde,4.1,41.5,1010.0,1041.7,15.0,15.0,4.4,76.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 69, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 3.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.2, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.4, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 13.8, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 13.8, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 26.3, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Motueka', 'amount': {'value': 18.8, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Fresh crab with lemon', 'Garlic butter dipping sauce', 'Goats cheese salad', 'Creamy lemon bar doused in powdered sugar']"
3,Berliner Weisse With Yuzu - B-Sides,4.2,8.0,1007.0,1040.0,8.0,4.0,3.2,83.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 60, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 30}, {'temp': {'value': 72, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 78, 'unit': 'celsius'}, 'duration': 5}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Soured naturally using the kettle souring technique, Yuzu fruit: 50g at middle, Yuzu juice: 200ml at FV'}","{'malt': [{'name': 'Propino Pale Malt', 'amount': {'value': 1.63, 'unit': 'kilograms'}}, {'name': 'Wheat Malt', 'amount': {'value': 1.63, 'unit': 'kilograms'}}, {'name': 'Propino Pale Malt for kettle souring', 'amount': {'value': 0.03, 'unit': 'kilograms'}}, {'name': 'Acidulated Malt for kettle souring', 'amount': {'value': 0.03, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bramling Cross', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'bitter'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Smoked chicken wings', 'Miso ramen', 'Yuzu cheesecake']"
4,Pilsen Lager,6.3,55.0,1012.0,1060.0,30.0,15.0,4.4,80.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 9, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.58, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Spicy crab cakes', 'Spicy cucumber and carrot Thai salad', 'Sweet filled dumplings']"
5,Avery Brown Dredge,7.2,59.0,1027.0,1069.0,10.0,5.0,4.4,67.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 70}], 'fermentation': {'temp': {'value': 10, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Lager Malt', 'amount': {'value': 6.63, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.38, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Saaz', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Vietnamese squid salad', 'Chargrilled corn on the cob with paprika butter', 'Strawberry and rhubarb pie']"
6,Electric India,5.2,38.0,1005.0,1045.0,15.0,7.5,4.4,88.9,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 22, 'unit': 'celsius'}}, 'twist': 'Honey: 62.5g at End (WP), Coriander Seeds: 8.5g at 45mins'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.63, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Nelson Sauvin', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Peppercorns', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Nelson Sauvin', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saison™'}","['Mussels with a garlic and herb sauce', 'Crab melt sandwich', 'Shortbread cookies']"
7,AB:12,11.2,35.0,1017.0,1108.0,80.0,40.0,5.3,84.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 69, 'unit': 'celsius'}, 'duration': 105}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Aged in whisky barrels with raspberries, tayberries and blackberries'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 9.69, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.19, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.44, 'unit': 'kilograms'}}], 'hops': [{'name': 'Tomahawk', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Tomahawk', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Tomahawk', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 3522 - Belgian Ardennes™'}","['Tandoori lamb with pomegranate', 'Beef Wellington with a red wine jus', 'Raspberry chocolate torte']"
8,Fake Lager,4.7,40.0,1010.0,1046.0,12.0,6.0,4.4,78.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 10, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.33, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.42, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.28, 'unit': 'kilograms'}}, {'name': 'Acidulated Malt', 'amount': {'value': 0.07, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 7.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Magnum', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Hersbrucker', 'amount': {'value': 6.25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 6.25, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Hersbrucker', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Fried crab cakes with avocado salsa', 'Spicy shredded pork roll with hot dipping sauce', 'Key lime pie']"
9,AB:07,12.5,30.0,1020.0,1106.0,84.0,42.0,5.6,83.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 105}], 'fermentation': {'temp': {'value': 11, 'unit': 'celsius'}}, 'twist': 'Scottish Heather Honey: 62.5g at middle, Add honey during the boil. After fermentation, age in a Scottish whisky cask'}","{'malt': [{'name': 'Munich', 'amount': {'value': 5.63, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Peated Malt', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Saaz', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 31.3, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}], 'yeast': 'Saflager S189'}","['Kedgeree', 'Scotch broth with sourdough bread', 'Clootie dumpling']"
10,Bramling X,7.5,75.0,1013.0,1068.0,22.0,11.0,4.4,80.9,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.38, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Bramling Cross', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Bramling Cross', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Warm blackberry pie', 'Vinegar doused fish and chips', 'Aromatic korma curry with lemon and garlic naan']"
